college,season,player_number_ind,player_ind,gp_ind,gs_ind,minutes_tot_ind,scoring_pts_ind,rebounds_tot_ind,ast_ind,stl_ind,blk_ind,to_ind,pts_per40,reb_per40,ast_per40,stl_per40,blk_per40,tov_per40,eFG_pct,TS_pct,USG_pct,ORB_pct,DRB_pct,AST_pct,AST_per_TO,2pt_pct,FTr,PPP,possessions,scoring_pts_per100,ast_per100,rebounds_tot_per100,stl_per100,blk_per100,to_per100,mins_per_game,pts_per_game,ast_per_game,reb_per_game,stl_per_game,blk_per_game,to_per_game,scoring_pts_share,ast_share,rebounds_tot_share,stl_share,blk_share,to_share,team_TS_pct,TS_diff,ast_per_fgm,tov_rate,game_score,game_score_per40,min_share
manhattan,2024-25,0,Brianna Davis,-0.21269891594458382,-1.3771810313454327,-0.634084769402171,0.01213895067886828,-0.7178205206218755,-0.4791630805271627,0.39063326407183896,-0.3005991548870283,-0.7664048580468291,1.0098563393098416,-0.4640289271296122,-0.2302213514579015,1.4550608035098436,-0.04515342984508811,-0.5800094773461804,0.32263886089384275,0.6745983078166549,0.7553343505416229,-0.8413313242415911,-0.5727156388621387,0.298306085059576,0.05627800835960318,0.5664838895401255,0.7740826412912816,0.8817236815527808,-0.24029566761582946,1.0145028843390067,-0.4492433746760215,-0.8178458524733374,0.7701771120774249,-0.2975800556830049,-0.9924734791809378,-0.645869249877573,0.08678180906106098,-0.462247517220249,-0.7282617693222537,0.49737227271655526,-0.2862769441258221,-0.7721517358170471,-0.08146818858516025,-0.6997506621276732,-0.8222399355379364,0.5064841423778955,-0.5568887835018576,-0.9015033694436242,0.9349548480261402,0.27439675179033385,-0.4686354978707668,-0.9924734791809383,-0.05824714786904473,0.7209338647685201,-0.7146576915764127
manhattan,2024-25,1,Hana Mühl,0.00842557325484731,0.4285820396204337,0.5811728646642893,-0.18379864501694074,0.7946760811182204,1.358049516431554,0.39063326407183896,-0.22094746049134054,1.0486320246055025,-0.5034758502232095,0.6273264012427993,1.4105415314368799,0.2991991766940713,-0.29661365935179407,0.7233985453286804,0.10975916506609072,0.4368182305799138,-0.5501911501931092,-0.5421278625110467,1.3979902735646146,0.8663265272255138,0.6491537401261378,-0.22091631778492962,0.22245587958078944,0.4761547817665018,-0.02290695368215204,-0.34409873461647916,1.4236534237790668,0.7857108340149567,0.45460333110651574,-0.2803655729464187,1.3097592051574554,0.6775074809467638,-0.1927819435822677,1.4493415389401472,0.8513666681415136,0.423282291947915,-0.22443068747065822,1.1071640868390513,-0.2752395343296531,0.8040029462568986,0.6306519223615502,0.5064841423778955,-0.5005831461885727,0.8421826876105551,0.9349548480261402,0.008746313644143815,1.0645716987484595,1.3097592051574551,0.29148292261979547,0.13388895715278512,0.3775080232041771
manhattan,2024-25,6,Kristina Juric,0.6717990408531407,-1.467469184893726,-0.8235825699684665,-0.6409863683071617,0.06335904291421797,-0.7201089948824043,-1.1414851727619528,1.531389816213791,-0.3416089918941558,-0.03291886563751497,1.143636755868031,-0.5802904105431899,-1.769075917985087,2.431577982644185,0.5337582217395274,1.5076883601661146,1.1811818460339083,-0.39813802934968107,-0.12315344911154831,0.22831115235991595,-0.9404710333097283,-0.8256370072583826,2.0853397809292704,0.6087869480601916,1.2479101302102829,-0.7867130989802894,0.3831992353024325,-0.4120129916422565,1.3045688989544717,-1.2651001773832844,2.780159627224878,0.9081826656235005,-1.1692471794643633,-0.7953722400468068,-0.8075668305911593,-0.11577230614642829,-1.248630910441193,1.3017753235358052,-0.5402451336628066,-0.7273726744001385,-0.8969642501125356,-0.07184523969974073,-1.2830733943052384,0.7381408747036883,-0.4934066326862637,0.9349548480261402,0.8403572832568816,-0.4993891524400277,0.9081826656235006,-0.2018002622019302,0.6796709955231661,-0.640152204759302
manhattan,2014-15,34,Shayna Ericksen,0.22955006245427842,0.24800573252384703,0.3257627856401519,0.5672954718169938,1.1769554419975854,-0.8707001913544302,0.2771430094915581,-0.22094746049134054,-0.10990215581087935,0.7663469968207397,1.173838791847418,-1.229586626057732,0.3412683339975209,-0.2354659226898514,-0.4671226241394775,0.5710210044087856,0.5132875770442781,0.5612731174373615,2.25146842501267,0.4929859939009021,-1.6306717464377332,-1.1682875325721132,1.4904143898646234,-0.38797107967940325,0.3315949247978212,0.41304873279730925,0.7750467791193882,-1.0693333300041088,0.6075212374213713,-0.12412588836428577,-0.3766942305093822,-0.7875299466776629,0.2584350219190844,0.5380257560046203,-0.9236655652589653,1.1538487093579795,0.2372444405507965,-0.24362435332915733,-0.19274011709052732,0.9837481133880427,-0.9085924097814548,1.4014918580684457,0.3649519354495355,-0.21309318625956714,-0.0549345138179849,-1.7144234480141074,1.4522891507858033,-0.8364516427060642,-0.7875299466776635,0.7693510079158417,0.9920033797027392,0.35341988849263356
manhattan,2014-15,35,Kayla Grimme,0.00842557325484731,-0.4742994958624995,-0.25508916826957995,0.11010774852677278,1.0938512331107668,-0.7502272341768095,-0.517288772570408,2.1686033713792936,0.27627590432791466,0.719369210857267,1.6314803380567224,-0.9056383254812193,-0.5010400577110135,2.393508210294424,0.7247058262584942,-0.1100574931951532,0.2219310929647625,0.9719607363109445,2.008093748887353,0.4929859939009021,-1.5360766777139174,-1.1257805795580764,1.057826567686136,0.645448364349791,0.4379569273946635,0.14411120458396598,0.15877793939591756,-0.9016505902991213,0.8712886260005707,-0.8424679733024869,1.7261885438772608,-0.017358980735332177,-0.2949322377351224,0.12578308287648435,-0.7808456932469816,1.171641770606007,-0.5466229108415559,2.1610677835142336,0.2867675272317,0.42572830890105173,-0.7780912349828462,1.3100642009091201,-0.5589147404509277,2.70817576140614,0.3601184173159217,-1.7144234480141074,1.126782579537629,-0.6955283140325597,-0.017358980735332468,0.3753025262906747,1.038340551271238,-0.25243711374564515
manhattan,2014-15,14,Taylor Williams,0.22955006245427842,0.4285820396204337,0.44934830774860546,0.1672562139380504,0.06335904291421797,-0.41892660193835235,-0.0633277542492845,-0.7785093212611551,-0.6119336339913115,0.14627625817219586,-0.09589585648626417,-0.6846267962063125,-0.22616334436813476,-1.1492844025047817,-1.1850906142573567,-1.2418986626595203,-1.4349521026681062,0.6428891789887025,0.4694581430766852,-0.1692195722740669,0.2042906732105991,-0.027536699775278686,-1.5088288226233129,-1.1595440674091537,-1.660683957513114,0.5544397662501075,-0.5841548284734496,-0.7152427059225176,-0.5380413370046483,-0.5755249820281414,-0.79995454140935,-1.445042732133912,0.3971897974741698,0.11937516567760148,-0.462247517220249,0.0028217127614474304,-0.11392813287297734,-0.781046997367133,-0.7076096820854854,0.4954807844619244,-0.41921300428667413,0.1763612521334927,-0.030990925650662707,-0.8947226073815647,-0.5945033242920638,-1.7144234480141074,-0.7243049968143146,-0.4737984490654796,-1.4450427321339123,-0.37714701930652716,-0.6746215021662372,0.4658789437406179
manhattan,2014-15,32,Nyasha Irizarry,0.45067455165370957,0.6091583467170203,0.8077463218631209,0.09377961555212204,-0.5516121028482386,0.6352117733658295,0.5041235186521199,-0.45990254367840394,0.701071770480588,-0.23471178977997603,-1.2784684648067952,0.3913966039271902,0.2816360825593087,-0.6618878324795481,0.10270134424841212,-0.2710304595189746,-0.34587318633990943,-0.1275545954375773,-0.5236170775821873,-0.6086078421691088,0.4620676657395267,0.2110630927333723,-1.3854220817357377,-0.7665126529251538,-0.5376145222818564,0.3538412375389498,-0.38022596961548666,0.30016083212259154,-0.9946312212080506,0.1742947319549234,-0.5518444660035091,0.20946075433846112,0.667607437833746,-0.01875104949831977,0.5487706947045828,-0.6729055787728353,0.40307593355646776,-0.4841849654223465,0.5465597711073606,0.40579903016937274,0.7226722752011475,-0.5002034108455109,0.6289138428496673,-0.5052200810261377,0.81667664156322,-1.7144234480141074,0.4924255832263211,0.26682689981607044,0.20946075433846084,-0.2933274156356482,-0.7181924233976232,0.9026595732612375
manhattan,2014-15,12,Ashley Stec,0.22955006245427842,-0.3840113423142062,-0.37867469037803353,-0.5838379028958841,0.04673820113685427,-0.08762596969989521,0.05016250033099637,-0.3005991548870283,-0.30299118588027635,-0.43245320864652653,0.6028136096891564,0.2652585220569495,0.6405248221629478,-0.14683277280845,-0.05608855841697418,-1.061677618962772,-0.9563150033020693,-0.10824881797734782,0.5764254706162238,-0.2361299263563296,0.45041976548622087,0.19966350078869885,0.38540236417386686,-0.44663734678396355,-1.0019069752960483,-0.40937577845313416,-0.7669514998470043,0.1904251782999785,0.435260995869316,0.516166316853066,-0.2420294960977762,0.028385067345578167,-0.5324671987448993,-0.666662677385373,-0.12387428199185692,-0.01435779465044081,0.003129391601614185,-0.32039901676315397,-0.390766872857819,-0.4212660371952753,-0.06033477359050115,0.15807572070162826,0.10099002804940233,-0.3104688178484237,-0.2624609793849392,-1.7144234480141074,-0.18956652487321707,0.05980229832543607,0.02838506734557793,-0.4811989411048605,-0.3593488517420529,-0.2875967264208766
manhattan,2014-15,31,Maeve Parahus,0.45067455165370957,-0.8354521100556728,-0.9718851964986107,-0.7716114321043678,-1.1499624068333316,-0.8104637127656199,-0.9712497908915315,-0.45990254367840394,-1.4615253662966583,-0.17526509553367126,-1.3196514184505592,-0.6839143169906444,-1.04164420724409,-0.23862761787033182,-1.6932277781341512,-0.43592478688960584,-0.9160308857612321,-0.2696073544719525,-1.1000816821669317,-1.2761923420173804,0.9186653556691106,0.712645138299003,-1.7700513341193573,-1.7998907229823486,-1.3468841965583735,-0.8470988528507555,-0.06513798434659324,-0.5264863470252009,-0.9718939048209773,-0.8305061945399386,-0.2788229336338431,-1.610842950048184,-1.2638590378930348,-0.8942149370257053,-0.8785491338951797,-1.2707524367065564,-1.0679469573408964,-0.4841849654223465,-1.5974099046665151,-0.6504527426095745,-0.8433418223821498,-1.1584825423926504,-1.0868385552511926,-0.5052200810261377,-1.507619772786661,-1.7144234480141074,-0.1445606791378682,-0.4263323939151137,-1.6108429500481842,-0.9475057017566473,-0.9077611653503251,-0.7725925600880454
manhattan,2014-15,25,Blake Underhill,0.22955006245427842,0.06742942542726041,-0.3086428945165765,-0.8287598975156454,-1.116720723278604,1.659231909375606,0.16365275491127723,-0.6192059324697795,0.31489371034179403,-1.150107047834077,-1.8563929228029807,3.084864458733817,0.7439583197599495,-0.7847139840437795,0.8684298296598676,-1.2133740778115283,-1.1103742478568415,-0.5206462519910712,-0.7520068637795718,-1.3865242814439418,1.6309123398924505,1.7889566110752528,0.3570537196345545,1.4232902236816443,-0.5513881187353726,-0.5401624843969725,-1.4600245583944607,2.9290352269585522,-1.1712744763572847,0.9571671406035899,-0.5965847703109454,1.4812087676873078,-0.4538394925970172,-0.9229793653406908,1.6602755037578463,-1.216923313482639,0.12018691607620534,-0.6274976704991401,0.24291874559751414,-0.7202052181704489,1.8319322609893163,-1.1219114795289198,0.23297098174946904,-0.6999713442038517,0.40162371042931366,-1.7144234480141074,-0.36168315588810124,2.7326942521773434,1.4812087676873062,-0.7519266265245964,-0.8898586647464385,-0.22386992844701878
