,mean_abs_shap
scoring_pts_ind,0.024092285496006997
def_stops_per100,0.015846625318082036
OLI,0.015110720571142688
possessions,0.014904436032148426
TOV_pct,0.013112780986491395
threeA_rate,0.012239698397042536
scoring_pts_share,0.012022797533474561
minutes_tot_ind,0.011443319215049841
game_score,0.010878171073529673
ast_per_fgm,0.010466198493534397
pts_per_game,0.010196735632135672
ast_ind,0.010191929668297966
threeA_per100,0.009726118595183925
Spacing,0.008898594332563101
three_per100,0.008825135844384093
rebounds_tot_ind,0.00817028900675058
rebounds_tot_share,0.007703789085646186
2pt_pct,0.0076466472762823185
TUSG_pct,0.007490964951896942
ast_per100,0.007302474019865933
min_share,0.006880170868696274
three_per40,0.006503620934270692
threeA_per40,0.006104662835679955
ast_share,0.005997471020961129
reb_per_game,0.005858992281738578
APC,0.00560892715636768
scoring_pts_per100,0.005447927260786095
Gravity,0.005427844199696726
ast_per_game,0.005368244520041925
OEFF,0.005299578380916178
reb_per40,0.0051724630701385724
IPM,0.005131172428392635
to_ind,0.004920644473836468
game_score_per40,0.004090965583691749
AST_per_TO,0.0035912588387847426
to_share,0.0035704891805668553
PEI,0.003560391873912439
ast_per40,0.0035212588072500352
mins_per_game,0.0033828582686561536
AST_pct,0.003355086571567249
ORB_pct,0.0033153190352112945
pts_per40,0.003253742247324997
DRCR,0.0031768041775001037
PEF,0.00289922513638208
stl_share,0.0028199359085684305
stl_ind,0.002279130419810377
to_per100,0.0020284342351964196
to_per_game,0.0020122708924487508
TS_pct,0.0018849864762950418
Assist_to_Usage,0.0018552008111048098
gs_ind,0.0017938028207423679
blk_share,0.0016649657151940119
3pt_3pt_pct_ind,0.001651724861721147
tov_rate,0.0015541534895888013
DRB_pct,0.00152378183881932
rebounds_tot_per100,0.0015210219646512623
stl_per_game,0.001470043408364185
TS_diff,0.0013502894749069447
eFG_pct,0.0013479841294759425
SEM,0.001335953737027448
blk_per40,0.0013131408747571397
PPP,0.001187817309347026
BoxCreation,0.0011570623249522476
blk_per_game,0.0010936001241097378
USG_pct,0.000933395820289492
stl_per100,0.0009209433249113969
blk_per100,0.0008712294901341265
to_per40,0.0008374482982829145
blk_ind,0.000715830886504665
stl_per40,0.0006995584065029179
FTr,0.0006482641106724753
STL_TO_ratio,0.0005979155321930748
DPMR,0.0005866229690441713
PPT,0.0005242139729257867
team_TS_pct,0.00036748636408269773
gp_ind,0.0003262446686560384
